iter	Passed	Remaining
193	517	816
194	520	814
195	522	810
196	525	807
197	527	804
198	529	801
199	532	798
200	534	795
201	537	792
202	539	789
203	541	786
204	543	782
205	546	779
206	548	776
207	549	771
208	552	768
209	554	765
210	556	762
211	559	759
212	561	756
213	564	753
214	566	750
215	569	749
216	572	747
217	575	744
218	578	742
219	580	738
220	583	736
221	587	735
222	589	732
223	592	729
224	594	726
225	596	723
226	598	720
227	602	718
228	604	715
229	606	712
230	609	709
231	611	706
232	613	703
233	616	700
234	619	698
235	621	695
236	623	692
237	626	689
238	628	686
239	630	683
240	633	680
241	636	678
242	638	675
243	640	672
244	643	669
245	645	666
246	647	663
247	650	660
248	652	657
249	655	655
250	657	652
251	659	649
252	661	646
253	664	643
254	666	640
255	669	638
256	671	635
257	674	632
258	676	629
259	678	626
260	680	623
261	683	620
262	686	618
263	688	615
264	690	612
265	693	609
266	695	606
267	697	603
268	699	601
269	702	598
270	704	595
271	707	592
272	709	590
273	711	587
274	714	584
275	716	581
276	719	579
277	721	576
278	723	573
279	726	570
280	728	567
281	730	564
282	733	562
283	735	559
284	738	556
285	740	554
286	742	551
287	744	548
288	747	545
289	749	542
290	752	540
291	754	537
292	757	535
293	759	532
294	762	529
295	764	526
296	767	524
297	769	521
298	772	519
299	774	516
300	776	513
301	779	510
302	781	508
303	784	505
304	786	503
305	789	500
306	792	497
307	794	495
308	796	492
309	798	489
310	801	487
311	803	484
312	806	481
313	808	478
314	810	476
315	813	473
316	815	470
317	818	468
318	820	465
319	822	462
320	825	460
321	827	457
322	829	454
323	832	452
324	834	449
325	837	446
326	839	444
327	841	441
328	844	438
329	846	435
330	848	433
331	850	430
332	853	427
333	855	425
334	858	422
335	860	419
336	862	417
337	865	414
338	868	412
339	870	409
340	872	406
341	875	404
342	877	401
343	880	399
344	883	396
345	885	394
346	887	391
347	890	388
348	892	386
349	894	383
350	897	380
351	899	378
352	901	375
353	904	372
354	906	370
355	908	367
356	910	364
357	913	362
358	915	359
359	918	357
360	920	354
361	922	351
362	924	349
363	927	346
364	929	343
365	932	341
366	934	338
367	936	336
368	939	333
369	941	330
370	943	328
371	946	325
372	948	323
373	951	320
374	953	317
375	955	315
376	957	312
377	960	309
378	962	307
379	965	304
380	967	302
381	970	299
382	972	297
383	975	294
384	977	291
385	979	289
386	982	286
387	985	284
388	988	281
389	990	279
390	992	276
391	994	274
392	997	271
393	1000	269
394	1002	266
395	1005	263
396	1007	261
397	1009	258
398	1011	256
399	1014	253
400	1017	251
401	1019	248
402	1021	245
403	1023	243
404	1025	240
405	1028	238
406	1030	235
407	1033	232
408	1035	230
409	1037	227
410	1040	225
411	1042	222
412	1044	220
413	1047	217
414	1049	214
415	1051	212
416	1054	209
417	1056	207
418	1058	204
419	1060	202
420	1063	199
421	1066	197
422	1068	194
423	1070	191
424	1073	189
425	1075	186
426	1078	184
427	1080	181
428	1082	179
429	1085	176
430	1087	174
431	1090	171
432	1092	169
433	1094	166
434	1097	163
435	1099	161
436	1101	158
437	1104	156
438	1106	153
439	1108	151
440	1111	148
441	1113	146
442	1116	143
443	1118	141
444	1120	138
445	1123	136
446	1125	133
447	1127	130
448	1130	128
449	1132	125
450	1135	123
451	1137	120
452	1140	118
453	1142	115
454	1145	113
455	1148	110
456	1151	108
457	1154	105
458	1156	103
459	1159	100
460	1162	98
461	1165	95
462	1168	93
463	1170	90
464	1173	88
465	1176	85
466	1179	83
467	1182	80
468	1185	78
469	1188	75
470	1191	73
471	1195	70
472	1198	68
473	1202	65
474	1206	63
475	1212	61
476	1216	58
477	1221	56
478	1225	53
479	1229	51
480	1233	48
481	1237	46
482	1240	43
483	1249	41
484	1253	38
485	1256	36
486	1260	33
487	1265	31
488	1269	28
489	1272	25
490	1276	23
